Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","AI Artificial Intelligence",4202,7418,6685,8120,5128,4822,19929,12296,,,,,,,,
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","CS Computers",1969,2910,3181,3894,2137,2262,9515,7407,,,,,,,,
2022,R1,E001,"E001 University of Visvesvaraya College of Engineering  Bangalore","IE Info.Science",3103,6287,3987,5209,3398,3717,15798,7598,,,,,,,,
2022,R1,E002,"E002 S K S J T Institute of Engineering.  Bangalore","CS Computers",10946,17335,15008,15744,12403,11833,26066,15320,,,,,,,,
2022,R1,E004,"E004 Dr. Ambedkar Institute Of Technology  Bangalore","CS Computers",7278,10108,10500,13847,8007,7816,18322,11438,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","AI Artificial Intelligence",336,1191,1310,2928,950,1051,6104,,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","CS Computers",158,782,823,530,525,437,2586,969,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","CY CS- Cyber Security",368,1109,1806,5253,,958,5329,3334,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","DS Comp. Sc. Engg- Data Sc.",287,,1089,3356,567,832,6285,3427,,,,,,,,
2022,R1,E005,"E005 R. V. College of Engineering  Bangalore","IE Info.Science",268,845,1034,2043,671,670,4647,3277,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","AD Artificial Intel, Data Sc",2233,3658,3899,,3358,2725,15859,9706,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","AI Artificial Intelligence",2124,3432,5047,3952,2303,2652,15084,7592,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CA CS (AI, Machine Learning)",1223,3086,3054,5492,1632,2430,10005,8554,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CS Computers",827,1824,1764,1135,1328,1318,3941,1021,,,,,,,,
2022,R1,E006,"E006 M S Ramaiah Institute of Technology  Bangalore","CY CS- Cyber Security",1840,3241,3635,5763,2196,1927,15910,7879,,,,,,,,
