Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E001,"University of Visvesvaraya College of Engineering Bangalore","Artificial Intelligence and Machine Learning",5128,,,,6802,,4202,,10372,,6261,
2022,R1,E001,"University of Visvesvaraya College of Engineering Bangalore","Computer Science and Engineering",2137,,9604,,,,1969,,3799,,2668,
2022,R1,E001,"University of Visvesvaraya College of Engineering Bangalore","Information Science and Engineering",3398,,,,,,3103,,4637,,4483,
2022,R1,E002,"S K S J T Institute of Engineering. Bangalore","Computer Science and Engineering",12403,,,,,,10946,,14416,,13977,
2022,R1,E004,"Dr. Ambedkar Institute Of Technology Bangalore","Computer Science and Engineering",8007,,,,,,7278,,12349,,10029,
2022,R1,E005,"R. V. College of Engineering Bangalore","Artificial Intelligence and Machine Learning",950,,,,,,336,,1408,,1011,
2022,R1,E005,"R. V. College of Engineering Bangalore","Computer Science and Engineering",525,,,,633,,158,,423,,436,
2022,R1,E005,"R. V. College of Engineering Bangalore","Computer Science - Cyber Security",,,,,,,368,,,,1308,
2022,R1,E005,"R. V. College of Engineering Bangalore","Computer Science and Engineering - Data Science",567,,,,1778,,287,,1300,,700,
2022,R1,E005,"R. V. College of Engineering Bangalore","Information Science and Engineering",671,,,,,,268,,769,,879,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Artificial Intelligence and Data Science",3358,,,,,,2233,,10151,,4120,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",2303,,,,,,2124,,7556,,4081,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Computer Science (AI and Machine Learning)",1632,,,,,,1223,,,,2243,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Computer Science and Engineering",1328,,3596,,1685,,827,,1373,,1501,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Computer Science - Cyber Security",2196,,,,,,1840,,,,4257,
2022,R1,E006,"M S Ramaiah Institute of Technology Bangalore","Information Science and Engineering",2039,,,,2898,,1534,,4315,,2865,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Artificial Intelligence and Machine Learning",,,,,,,4830,,11233,,6858,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Computer Science and Design",9226,,,,,,6962,,18664,,12194,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Computer Science and Engineering",3273,,12116,,4854,,3100,,7544,,4579,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Computer Science - Cyber Security",5393,,,,9368,,5333,,16009,,8739,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Computer Science and Engineering - Data Science",5293,,,,,,5159,,,,7648,
2022,R1,E007,"Dayananda Sagar College of Engineering Bangalore","Information Science and Engineering",4793,,,,,,4668,,10572,,5855,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",7056,,,,,,6629,,16985,,9422,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Computer Science and Engineering",3994,,,,,,3747,,8641,,5191,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Computer Science and Engineering - Data Science",6187,,,,,,5469,,,,9088,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Information Science and Engineering",5606,,,,,,5573,,10723,,7026,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Computer Science - Internet of Things",8570,,,,,,7599,,32871,,12887,
2022,R1,E008,"Bangalore Institute of Technology Bangalore","Robotics and Artificial Intelligence",12115,,,,15472,,11595,,25644,,14903,
2022,R1,E009,"P E S University (Ring Road Campus) Bangalore","Artificial Intelligence and Machine Learning",1596,,,,,,1301,,13501,,5205,
2022,R1,E009,"P E S University (Ring Road Campus) Bangalore","Computer Science and Engineering",1343,,9364,,2321,,787,,3475,,2141,
2022,R1,E011,"M V J College of Engineering Bangalore","Artificial Intelligence and Machine Learning",26450,,,,,,25248,,26289,,28365,
2022,R1,E011,"M V J College of Engineering Bangalore","Computer Science and Design",,,,,,,31596,,,,33307,
2022,R1,E011,"M V J College of Engineering Bangalore","Computer Science and Engineering",17787,,,,19124,,16694,,21760,,18686,
2022,R1,E011,"M V J College of Engineering Bangalore","Computer Science and Engineering - Data Science",27445,,,,28037,,26663,,,,27312,
